Entity,Label,Count,Average_Score
Arenite,ROCHA,3,"0,9795"
grainstone-dominated,ROCHA,3,"0,6552"
ripples,ESTRUTURA_FISICA,3,"0,8198"
carbonatemounds,ROCHA,3,"0,6296"
"campodeTupi,",CAMPO,3,"0,9559"
carbonatos.,ROCHA,3,"0,9983"
arenitos,ROCHA,3,"0,9989"
pelitos,ROCHA,3,"0,9385"
Fm.BarraVelha,UNIDADE_LITO,3,"0,9958"
evaporitos,ROCHA,3,"0,9995"
anidrita,ROCHA,3,"0,9740"
Calcarenites,ROCHA,3,"0,7582"
tuffs,ROCHA,2,"0,9229"
fluvio-deltaic,PALEOAMBIENTE,2,"0,8218"
mud,ROCHA,2,"0,8875"
shrubby,ESTRUTURA_FISICA,2,"0,7975"
intraclastic,FOSSEIS,2,"0,5491"
cyanobacteria,FOSSEIS,2,"0,7407"
lamination.,ESTRUTURA_FISICA,2,"0,8067"
Carbonates.,ROCHA,2,"0,6033"
BM-S-24,POÇO,2,"0,7664"
Epinephelus.,FOSSEIS,2,"0,9727"
3BRSA-1342A-RJS,POÇO,2,"0,7821"
Sapinhoa,CAMPO,2,"0,8307"
"8-BUZ-21D-RJS,",POÇO,2,"0,9829"
folds,ESTRUTURA_FISICA,2,"0,6872"
Barremian.,UNIDADE_CRONO,2,"0,9998"
Eo-Oligocene,UNIDADE_CRONO,2,"0,9700"
Tertiary,UNIDADE_CRONO,2,"0,7267"
"Camposbasins,",BACIA,2,"0,7519"
BaciadePelotas.,BACIA,2,"0,9997"
mesozoic,UNIDADE_CRONO,2,"0,9354"
"Barremiano,",UNIDADE_CRONO,2,"0,9999"
Wackestones,ROCHA,2,"0,9277"
packstone.,ROCHA,2,"0,9878"
Cherts,ROCHA,2,"0,7065"
boundstones.,ROCHA,2,"0,6285"
wackestones.,ROCHA,2,"0,8615"
"Sandstones,",ROCHA,2,"0,8489"
"conglomerates,",ROCHA,2,"0,8071"
Conglomerates,ROCHA,2,"0,7910"
Sandstones,ROCHA,2,"0,7002"
"deltas,",PALEOAMBIENTE,2,"0,7699"
"laminations,",ESTRUTURA_FISICA,2,"0,7068"
"sandstone,",ROCHA,2,"0,5864"
halite.,ROCHA,2,"0,6236"
mollusc,FOSSEIS,2,"0,8842"
"cretaceous,",UNIDADE_CRONO,2,"0,8379"
"CO2,",FLUIDODATERRA,2,"0,8190"
scarp,ESTRUTURA_FISICA,2,"0,7865"
"wedges,",ESTRUTURA_FISICA,2,"0,6806"
scar,ESTRUTURA_FISICA,2,"0,8118"
granites,ROCHA,2,"0,9962"
gneisses,ROCHA,2,"0,5587"
"Neoaptian,",UNIDADE_CRONO,2,"0,9964"
3-BRSA-861-SPS,POÇO,2,"0,9865"
Lapa,CAMPO,2,"0,5635"
anhydrite.,ROCHA,2,"0,7927"
"faults,",ESTRUTURA_FISICA,2,"0,8052"
failures,ESTRUTURA_FISICA,2,"0,7960"
baciadeSantos.,BACIA,2,"0,9959"
Creta,UNIDADE_CRONO,2,"0,8300"
shell,FOSSEIS,2,"0,5498"
arenite,ROCHA,2,"0,5932"
"Rudstones,",ROCHA,2,"0,9935"
Packstones.,ROCHA,2,"0,9414"
"cherts,",ROCHA,2,"0,8028"
Rudstones.,ROCHA,2,"0,9916"
gastropods.,FOSSEIS,2,"0,9394"
Ballik,CAMPO,2,"0,5697"
"Carbonates,",ROCHA,2,"0,5760"
travertines.,ROCHA,2,"0,9987"
Turonian,UNIDADE_CRONO,2,"0,9219"
"micas,",MINERAIS,2,"0,7647"
"bioclasts,",FOSSEIS,2,"0,6216"
cementstone,ROCHA,2,"0,4321"
"dolomudstones,",ROCHA,2,"0,6780"
dolomudstone,ROCHA,2,"0,9137"
2-ANP-1-RJS,POÇO,2,"0,9938"
9-BRSA-1159-RJS,POÇO,2,"0,9402"
Hauterevian,UNIDADE_CRONO,2,"0,9617"
2-ANP1-RJS,POÇO,2,"0,9745"
3-,POÇO,2,"0,9784"
3-BRSA-944-RJS.,POÇO,2,"0,9968"
shallow,PALEOAMBIENTE,2,"0,6362"
Marinhas,PALEOAMBIENTE,2,"0,9992"
Archean,UNIDADE_CRONO,2,"0,9067"
granitoids,ROCHA,2,"0,7093"
PreAlagoas,UNIDADE_CRONO,2,"0,7928"
Namibe,BACIA,2,"0,6996"
tufas,ROCHA,2,"0,7282"
"floatstones,",ROCHA,2,"0,8083"
"cementstones,",ROCHA,2,"0,7599"
Palaeoproterozoic,UNIDADE_CRONO,2,"0,9202"
oceans.,PALEOAMBIENTE,2,"0,8325"
EspritoSanto,BACIA,2,"0,7514"
"Holocene,",UNIDADE_CRONO,2,"0,9285"
Cretace,UNIDADE_CRONO,2,"0,8293"
Pyrite,ROCHA,2,"0,5730"
"chalcedony,",MINERAIS,2,"0,7680"
silica.,MINERAIS,2,"0,6688"
pyrite.,MINERAIS,2,"0,9439"
laminations.,ESTRUTURA_FISICA,2,"0,7259"
"silica,",MINERAIS,2,"0,7782"
Magnesite,MINERAIS,2,"0,5197"
Ordovician,UNIDADE_CRONO,2,"0,9153"
"pisolites,",ROCHA,2,"0,7936"
calcrete,ROCHA,2,"0,6691"
Fault,ESTRUTURA_FISICA,2,"0,5953"
contact,ESTRUTURA_FISICA,2,"0,7347"
"Mudstones,",ROCHA,2,"0,8574"
stones.,ROCHA,2,"0,9453"
Alluvial,PALEOAMBIENTE,2,"0,8691"
"Jurassic,",UNIDADE_CRONO,2,"0,9749"
"feldspar,",MINERAIS,2,"0,9080"
"Velha,",UNIDADE_LITO,2,"0,5866"
1-BRSA-886-RJS,POÇO,2,"0,9990"
Santonian,UNIDADE_CRONO,2,"0,9913"
Campanian,UNIDADE_CRONO,2,"0,7472"
"travertine,",ROCHA,2,"0,8633"
"1-BRSA-618-RJS,",POÇO,2,"0,9948"
"3-BRSA-1032-RJS,",POÇO,2,"0,9970"
"3-BRSA-1172-RJS,",POÇO,2,"0,9612"
3-BRSA-1132-RJS,POÇO,2,"0,9824"
9-BRSA-1284-RJS,POÇO,2,"0,9041"
gases,FLUIDODATERRA,2,"0,9789"
Ilyocypris,FOSSEIS,2,"0,7868"
"Alagoas,",UNIDADE_CRONO,2,"0,6808"
Alagoas.,UNIDADE_CRONO,2,"0,7578"
rocks,ROCHA,2,"0,7500"
strontium,MINERAIS,2,"0,9148"
Paleocene-Eocene,UNIDADE_CRONO,2,"0,9990"
gravel,NAO_CONSOLID,2,"0,6834"
eolian,PALEOAMBIENTE,2,"0,8582"
rochascarbonaticas,ROCHA,2,"0,9985"
water,FLUIDODATERRA,2,"0,7148"
3-EQNR-1-SPS,POÇO,2,"0,9790"
mounds.,ESTRUTURA_FISICA,2,"0,3649"
3-BRSA-1343-RJS,POÇO,2,"0,9677"
Coquina,ROCHA,2,"0,6817"
2-ANP-2A-RJS.,POÇO,2,"0,9139"
3-BRSA-1345-RJS.,POÇO,2,"0,9988"
3-BRSA-1183-RJS,POÇO,2,"0,9935"
aptiano,UNIDADE_CRONO,2,"0,9880"
2SEQ5,POÇO,2,"0,7111"
Formac,UNIDADE_LITO,2,"0,7242"
Carbonatos,ROCHA,2,"0,9952"
"Aptiano,",UNIDADE_CRONO,2,"0,9999"
argilas,NAO_CONSOLID,2,"0,9995"
Discorda,ESTRUTURA_FISICA,2,"0,5535"
"anidrita,",ROCHA,2,"0,9986"
leques,PALEOAMBIENTE,2,"0,9525"
falhas.,ESTRUTURA_FISICA,2,"0,9998"
esferulitos,ROCHA,2,"0,7338"
Esferulitos,ROCHA,2,"0,9859"
"calcarenites,",ROCHA,2,"0,8822"
siltites.,ROCHA,2,"0,9582"
calcarenite.,ROCHA,2,"0,8433"
"Pampo,",CAMPO,2,"0,9920"
Charophyte,FOSSEIS,1,"0,6522"
algae,FOSSEIS,1,"0,6264"
gyrogonite,FOSSEIS,1,"0,5174"
floatstones,ROCHA,1,"0,8326"
oogonia,FOSSEIS,1,"0,3754"
grainstones-rudstones,ROCHA,1,"0,8525"
Neo-Cretaceous,UNIDADE_CRONO,1,"0,9480"
of,BACIA,1,"0,8384"
Neocominian.,UNIDADE_CRONO,1,"0,9978"
3-BRSA-1053RJS,POÇO,1,"0,9958"
calcilutite,ROCHA,1,"0,6886"
Eodanian,UNIDADE_CRONO,1,"0,9972"
3-BRSA-1053-RJ,POÇO,1,"0,9958"
8-BUZ-28DA-RJS.,POÇO,1,"0,9791"
8BUZ-28DA-RJS,POÇO,1,"0,9822"
Eo-Aptian.,UNIDADE_CRONO,1,"0,9981"
8-BUZ-21D-RJS,POÇO,1,"0,9858"
8BUZ-26-RJS,POÇO,1,"0,9009"
Neo-Aptian,UNIDADE_CRONO,1,"0,9897"
sylvite,MINERAIS,1,"0,7431"
Neogene.,UNIDADE_CRONO,1,"0,9983"
diamictites,ROCHA,1,"0,9998"
mound-shaped,ESTRUTURA_FISICA,1,"0,5794"
Miocene.,UNIDADE_CRONO,1,"0,9990"
Serravallian,UNIDADE_CRONO,1,"0,8090"
diamictites.,ROCHA,1,"0,9994"
BaciaDeSantos.,BACIA,1,"0,9999"
Dinoflagellate,FOSSEIS,1,"0,8747"
baciadeTaranaki.,BACIA,1,"0,9992"
"EspiritoSantobasins,",BACIA,1,"0,8825"
camposdeLapa,CAMPO,1,"0,9943"
"CampodeBonito,",CAMPO,1,"0,9989"
BaciadeCampos-,BACIA,1,"0,9996"
Neogene,UNIDADE_CRONO,1,"0,8565"
Paleogene,UNIDADE_CRONO,1,"0,8849"
Peloids,FOSSEIS,1,"0,6513"
Boundstone,ROCHA,1,"0,5990"
cyanobacteriacoccoid,FOSSEIS,1,"0,9899"
cyanobacteriamats.,FOSSEIS,1,"0,6928"
"Packstones,",ROCHA,1,"0,9854"
botryoids,FOSSEIS,1,"0,5996"
