Readable_Term,Label,Frequency
ncavotucano.,BACIA,1
ostracodes.,FOSSEIS,1
baciadesergipealagoas.,BACIA,1
rainstones,ROCHA,1
crinkly,ESTRUTURA_FISICA,1
"calcimudstones,",ROCHA,1
cleavage,ESTRUTURA_FISICA,1
mississippian-early,UNIDADE_CRONO,1
pennsylvanian,UNIDADE_CRONO,1
3-eq,POÇO,1
3-eqnr-3-sps,POÇO,1
3-eqnr-1-sps.,POÇO,1
"carbonatemounds,",ROCHA,1
2-anp-2a,POÇO,1
"3-brsa-1339a-rjs,",POÇO,1
"brsa-1339a-rjs,",POÇO,1
3-brsa1322-rjs,POÇO,1
"3-brsa-1345-rjs,",POÇO,1
"3-brsa-1255-rjs,",POÇO,1
3-brsa-1343-rjs.,POÇO,1
brsa-1267a-rjs,POÇO,1
3-brsa-1267arjs,POÇO,1
"3-brsa-1305a-rjs,",POÇO,1
"3-brsa-1310-rjs,",POÇO,1
"3-brsa-1267a-rjs,",POÇO,1
"3-brsa-1310rjs,",POÇO,1
imestone,ROCHA,1
3-brsa-1370-sps,POÇO,1
3-esso-3-sps,POÇO,1
3-esso-5-sps,POÇO,1
1-brsa-757-sps,POÇO,1
archaean,UNIDADE_CRONO,1
9-buz-4-rjs,POÇO,1
9-buz-4-rjs.,POÇO,1
"9-buz-4-rjs,",POÇO,1
gato,CAMPO,1
"mato,",CAMPO,1
neoaptian,UNIDADE_CRONO,1
intra-albian,UNIDADE_CRONO,1
pelotasbasins,BACIA,1
yacoraite,ROCHA,1
baciadesalta-argentina,BACIA,1
campanian-turonian,UNIDADE_CRONO,1
diabases,ROCHA,1
"basalt,",MINERAIS,1
intra-barremian,UNIDADE_CRONO,1
3-rjs-625,POÇO,1
"eocene,",UNIDADE_CRONO,1
2seq5.,POÇO,1
1seq1,POÇO,1
2seq1,POÇO,1
"folds,",ESTRUTURA_FISICA,1
granitic,ROCHA,1
phitsanulok,BACIA,1
barravelhaformation.,UNIDADE_LITO,1
campodetupi,CAMPO,1
"fraturas,",ESTRUTURA_FISICA,1
"baciadepelotas,",BACIA,1
eocreta,UNIDADE_CRONO,1
"embasamento,",UNIDADE_LITO,1
baciasdecampos,BACIA,1
zona,ESTRUTURA_FISICA,1
"falha,",ESTRUTURA_FISICA,1
halita.,ROCHA,1
"eoceno,",UNIDADE_CRONO,1
"eoaptiano,",UNIDADE_CRONO,1
grupoguaratiba,UNIDADE_LITO,1
neocomiano,UNIDADE_CRONO,1
neobarremiano-eoaptiano,UNIDADE_CRONO,1
lamitos,ROCHA,1
"raso,",PALEOAMBIENTE,1
"intra-alagoas,",UNIDADE_CRONO,1
velha.,UNIDADE_LITO,1
"carbonatos,",ROCHA,1
gipsita,ROCHA,1
marinha.,PALEOAMBIENTE,1
tethyan,UNIDADE_CRONO,1
"taquidrita,",ROCHA,1
margas,ROCHA,1
cenomaniano,UNIDADE_CRONO,1
cisalhamento,ESTRUTURA_FISICA,1
"halita,",ROCHA,1
fm.itapema,UNIDADE_LITO,1
raso,PALEOAMBIENTE,1
argilominerais,MINERAIS,1
magnesianas,ROCHA,1
litora,PALEOAMBIENTE,1
embasamento.,UNIDADE_LITO,1
continental.,PALEOAMBIENTE,1
"aptianosuperior,",UNIDADE_CRONO,1
calcarenites.,ROCHA,1
siltite.,ROCHA,1
bioclast.,FOSSEIS,1
dolostone.,ROCHA,1
"siltstone,",ROCHA,1
bioclasts.,FOSSEIS,1
carenite,ROCHA,1
"ripples,",ESTRUTURA_FISICA,1
badejo,CAMPO,1
barravelhaformation,CAMPO,1
coquinas-,ROCHA,1
"camposdebadejo,",CAMPO,1
"trilha,",CAMPO,1
mangakahia,FOSSEIS,1
campodepampo.,CAMPO,1
campodemero,CAMPO,1
"badejopampo,",CAMPO,1
ostracod.,MINERAIS,1
spherulitestone,ROCHA,1
sb-1,POÇO,1
"oxfordian,",UNIDADE_CRONO,1
